category,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted,mcc,accuracy_std_boot,accuracy_ci95_low,accuracy_ci95_high,f1_macro_std_boot,f1_macro_ci95_low,f1_macro_ci95_high,mcc_std_boot,mcc_ci95_low,mcc_ci95_high,support,cv_accuracy_mean,cv_accuracy_std
DIASTOLIC_FUNCTION,0.9448818897637795,0.952054794520548,0.9426229508196722,0.9443853612761964,0.9445922481460227,0.8946280279152123,0.020810684320436923,0.905511811023622,0.984251968503937,0.0198648986457461,0.9045028724981468,0.9838131651162312,0.03643810176078433,0.8158297767527884,0.9675531938010095,127,0.9588676415448069,0.021979862831892502
LA_SIZE,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,113,0.9946902654867257,0.004847102278806787
LV_FUNCTION,0.953125,0.8571428571428571,0.9,0.8502673796791443,0.9553810160427807,0.8771147463181672,0.027857033143275426,0.890625,1.0,0.08509118543999976,0.6507936507936508,1.0,0.06405063450544667,0.7385230620120343,1.0,64,0.9789235639981909,0.017236858451939563
LV_HYPERTROPHY,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,114,0.9909418509418509,0.009050162871397082
LV_SIZE,0.9915254237288136,0.9880952380952381,0.99609375,0.9919339350873824,0.991595407746417,0.9867808622154056,0.008359115738210684,0.9745762711864406,1.0,0.00758693014093778,0.9749552118404882,1.0,0.013298064237348497,0.9583336998327254,1.0,118,0.9897725626539187,0.007159702393139451
