category,samples,coverage,abstain_rate,accuracy_covered,f1_macro_covered,risk_at_coverage,strict_accuracy_with_abstain_as_error,ml_selected_rate,rule_selected_rate
LV_SIZE,41,1.0,0.0,0.7073170731707317,0.20714285714285716,0.29268292682926833,0.7073170731707317,1.0,0.0
LV_HYPERTROPHY,39,1.0,0.0,0.8717948717948718,0.7908496732026143,0.1282051282051282,0.8717948717948718,0.5897435897435898,0.41025641025641024
LA_SIZE,40,1.0,0.0,0.975,0.9742101869761444,0.025000000000000022,0.975,0.7,0.3
DIASTOLIC_FUNCTION,43,1.0,0.0,0.9767441860465116,0.973006905210295,0.023255813953488413,0.9767441860465116,0.4418604651162791,0.5581395348837209
