ml_threshold,abstain_threshold,disagreement_margin,weighted_coverage,weighted_abstain_rate,weighted_accuracy_covered,weighted_f1_macro_covered,weighted_risk_at_coverage,weighted_strict_accuracy
0.85,0.65,0.2,0.9263803680981595,0.0736196319018405,0.9931638913234004,0.9866146123814836,0.0068361086765994766,0.9202453987730062
0.9,0.65,0.15,0.9263803680981595,0.0736196319018405,0.9931638913234004,0.9866146123814836,0.0068361086765994766,0.9202453987730062
0.9,0.65,0.2,0.9263803680981595,0.0736196319018405,0.9931638913234004,0.9866146123814836,0.0068361086765994766,0.9202453987730062
0.8,0.65,0.2,0.9263803680981595,0.0736196319018405,0.9195442594215599,0.7871842881045334,0.08045574057843997,0.8466257668711656
0.85,0.65,0.15,0.9263803680981595,0.0736196319018405,0.9195442594215599,0.7871842881045334,0.08045574057843997,0.8466257668711656
0.9,0.65,0.1,0.9263803680981595,0.0736196319018405,0.9195442594215599,0.7871842881045334,0.08045574057843997,0.8466257668711656
0.6,0.65,0.2,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.65,0.65,0.15,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.65,0.65,0.2,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.7,0.65,0.1,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.7,0.65,0.15,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.7,0.65,0.2,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.75,0.65,0.05,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.75,0.65,0.1,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.75,0.65,0.15,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.75,0.65,0.2,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.8,0.65,0.05,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.8,0.65,0.1,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.8,0.65,0.15,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.85,0.65,0.05,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.85,0.65,0.1,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.9,0.65,0.05,0.9263803680981595,0.0736196319018405,0.9122163793942935,0.7760767646947822,0.0877836206057065,0.8404907975460122
0.55,0.65,0.2,0.9263803680981595,0.0736196319018405,0.8975606193397604,0.7500385285921316,0.10243938066023957,0.8282208588957054
0.6,0.65,0.15,0.9263803680981595,0.0736196319018405,0.8975606193397604,0.7500385285921316,0.10243938066023957,0.8282208588957054
0.65,0.65,0.1,0.9263803680981595,0.0736196319018405,0.8975606193397604,0.7500385285921316,0.10243938066023957,0.8282208588957054
0.7,0.65,0.05,0.9263803680981595,0.0736196319018405,0.8975606193397604,0.7500385285921316,0.10243938066023957,0.8282208588957054
0.55,0.65,0.15,0.9263803680981595,0.0736196319018405,0.8902327393124938,0.7344235519082145,0.10976726068750611,0.8220858895705521
0.6,0.65,0.1,0.9263803680981595,0.0736196319018405,0.8902327393124938,0.7344235519082145,0.10976726068750611,0.8220858895705521
0.65,0.65,0.05,0.9263803680981595,0.0736196319018405,0.8902327393124938,0.7344235519082145,0.10976726068750611,0.8220858895705521
0.55,0.65,0.1,0.9263803680981595,0.0736196319018405,0.8824130879345603,0.7086638771875265,0.11758691206543967,0.8159509202453987
0.6,0.65,0.05,0.9263803680981595,0.0736196319018405,0.8824130879345603,0.7086638771875265,0.11758691206543967,0.8159509202453987
0.85,0.6,0.2,0.9386503067484662,0.061349693251533735,0.9931638913234004,0.9866146123814836,0.0068361086765994766,0.9325153374233128
0.9,0.6,0.15,0.9386503067484662,0.061349693251533735,0.9931638913234004,0.9866146123814836,0.0068361086765994766,0.9325153374233128
0.9,0.6,0.2,0.9386503067484662,0.061349693251533735,0.9931638913234004,0.9866146123814836,0.0068361086765994766,0.9325153374233128
0.8,0.6,0.2,0.9386503067484662,0.061349693251533735,0.9195442594215599,0.7871842881045334,0.08045574057843997,0.8588957055214723
0.85,0.6,0.15,0.9386503067484662,0.061349693251533735,0.9195442594215599,0.7871842881045334,0.08045574057843997,0.8588957055214723
0.9,0.6,0.1,0.9386503067484662,0.061349693251533735,0.9195442594215599,0.7871842881045334,0.08045574057843997,0.8588957055214723
0.6,0.6,0.2,0.9386503067484662,0.061349693251533735,0.9126020572904654,0.7771897318958589,0.08739794270953458,0.852760736196319
0.65,0.6,0.15,0.9386503067484662,0.061349693251533735,0.9126020572904654,0.7771897318958589,0.08739794270953458,0.852760736196319
0.65,0.6,0.2,0.9386503067484662,0.061349693251533735,0.9126020572904654,0.7771897318958589,0.08739794270953458,0.852760736196319
