category,algorithm,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fit_time_mean_s,folds
DIASTOLIC_FUNCTION,Decision Tree,0.9782385964912281,0.01712984307199964,0.9782159274659274,0.017168049150305523,0.9781878484659815,0.017175221205758928,0.957115490447373,0.0336510412296027,0.0008351232210407033,50
DIASTOLIC_FUNCTION,Gradient Boosting,0.9742877192982456,0.013752807584601335,0.9741444906444906,0.013766972545904099,0.9742206429675333,0.013791307195444823,0.9494865368319411,0.02678200542958692,0.08531871741754003,50
DIASTOLIC_FUNCTION,Random Forest,0.9095859649122806,0.0381194317054771,0.9077673827673827,0.039113417413671026,0.9086872812691754,0.03914063149067106,0.8226182916784035,0.07362397476921337,0.06487700167694128,50
DIASTOLIC_FUNCTION,SVM (RBF),0.7703052631578947,0.046519636930244114,0.7688115615615615,0.047004570705933786,0.7683253661054138,0.047325257186420146,0.543482568911683,0.09394364557601449,0.001650235039414838,50
DIASTOLIC_FUNCTION,K-Nearest Neighbors,0.7125473684210526,0.05481210731441374,0.7092454377454378,0.055429714890881755,0.7080612698727897,0.05641558453381582,0.42740331055486025,0.11257833377309816,0.0003309791604988277,50
DIASTOLIC_FUNCTION,Logistic Regression,0.614638596491228,0.050424136347810386,0.614237063987064,0.051000092262894224,0.6123436877898061,0.051023265752337774,0.23067605927460652,0.10328945564256165,0.013079425059841015,50
LA_SIZE,Random Forest,0.9908018648018648,0.012393000987113373,0.9897173489278752,0.013646679311777295,0.9905253389478784,0.012756452995647719,0.9814968891539544,0.024780946563222023,0.06110526659875177,50
LA_SIZE,Gradient Boosting,0.984979020979021,0.015950970391529738,0.985098406677354,0.015034812013220036,0.9846385757753788,0.016240689565842667,0.9700781154057451,0.031317152867886895,0.04763072911824565,50
LA_SIZE,Decision Tree,0.98190675990676,0.01476824678173437,0.9824454906033854,0.013924562520778887,0.9815019559718589,0.015028854251615964,0.9638625938929378,0.02898362136326417,0.0007108592404983938,50
LA_SIZE,SVM (RBF),0.8125780885780886,0.03720002626976663,0.7972511609353714,0.03998330245852525,0.8019438286316501,0.04014437684911517,0.6162889759787012,0.0784358017649632,0.0014016600593458862,50
LA_SIZE,K-Nearest Neighbors,0.7466340326340327,0.049326992343054064,0.7275372741162215,0.05196021892866149,0.7308314484255943,0.053517977106617445,0.47506399315522324,0.1066774729371248,0.00029649498057551685,50
LA_SIZE,Logistic Regression,0.6113426573426574,0.04517948463180409,0.6066549444181023,0.044194730443137265,0.603916593385947,0.04450115069688354,0.21292592010013484,0.08839153373394185,0.012819735939265229,50
LV_FUNCTION,Decision Tree,0.991516290726817,0.010870491554232262,0.9561111111111111,0.05725573067287992,0.9585991932526586,0.05569343283161797,0.9586680688825306,0.05402214988592449,0.0009101408178685233,50
LV_FUNCTION,Gradient Boosting,0.990814536340852,0.01196675909030805,0.9494444444444444,0.0700236615518119,0.9531706218240872,0.0680509296878625,0.9549680846023957,0.060115019457780375,0.11800652665900997,50
LV_FUNCTION,Random Forest,0.9780952380952381,0.015346615114609266,0.8798666666666667,0.09039111566900324,0.8914641294484892,0.08917911714269941,0.8911992779968004,0.0794447347938953,0.07225033076072578,50
LV_FUNCTION,Logistic Regression,0.9240914786967419,0.03297329872960868,0.7504849673202614,0.10955128642195691,0.7099253746246674,0.12044988089520912,0.6884647661104324,0.11294060250950093,0.2000557116587879,50
