algorithm,accuracy_mean,balanced_accuracy_mean,f1_macro_mean,mcc_mean,stability_score,f1_std_mean,fit_time_mean_s,selection_score
Gradient Boosting,0.9751902807385073,0.9224936248438063,0.9222959899871546,0.9242040010637332,19.009502420014933,0.05260426961227081,0.16986383649497294,0.9489609949667283
Decision Tree,0.9716104371381433,0.9156661069727313,0.913017571939308,0.9117994323798712,18.69030205315267,0.05350268320191596,0.0009553479759488254,0.9403005275171696
Random Forest,0.9584311071777136,0.8834789006575032,0.8866545986788472,0.8785683402197119,14.904836436409397,0.06709131626032536,0.06850748283159919,0.8999009590201501
SVM (RBF),0.8563896529720607,0.7419583003744915,0.7259413820130708,0.6480083631379829,12.667982849971422,0.07893816591482093,0.0021622035204200076,0.7500578001990295
Logistic Regression,0.7868061379370825,0.701095885810161,0.6773602258918072,0.5200926648926574,12.822662274830886,0.07798592491206463,0.05087612600787543,0.6839307209301001
K-Nearest Neighbors,0.7928296119055075,0.6770470607115374,0.6477706264936444,0.5184665288787764,12.354315979995668,0.08094237247154905,0.0004323619885835796,0.6728936015157443
