algorithm,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,recall_mean,cv_mean,cv_std_mean,train_time_mean_s,predict_time_mean_s
Gradient Boosting,0.9912280701754387,0.015193428136569065,0.9909715809992817,0.015637680421264163,0.9921052631578947,0.9912280701754387,0.9832215897111533,0.015457011520207056,0.12428426742553711,0.0003329912821451823
Decision Tree,0.9828947368421052,0.014828194302085089,0.982633036075371,0.015075788901868092,0.9841687552213868,0.9828947368421052,0.9710179594809576,0.01818858976442754,0.0009656747182210287,6.159146626790364e-05
Random Forest,0.9353631170950631,0.04680878802893305,0.9339138434772799,0.04655792975600154,0.9390186412707834,0.9353631170950631,0.9591262242922585,0.02507168385134419,0.07357001304626465,0.013176997502644857
K-Nearest Neighbors,0.8781925744594044,0.06024843401007922,0.8749894650342154,0.05802729288881395,0.890907426586741,0.8781925744594044,0.8921533408084642,0.04603671115471775,0.002146641413370768,0.01472783088684082
SVM (RBF),0.8487862097103224,0.13985965612060386,0.8433291421340372,0.14752504516530243,0.8564791251655962,0.8487862097103224,0.8723137446571982,0.04032513706297631,0.0010964075724283855,0.0002747376759847005
Logistic Regression,0.80343737250102,0.2538840507314615,0.7951450616882328,0.26744741187376175,0.7975219995475059,0.80343737250102,0.7932336170049643,0.043369033686238075,0.5044871966044108,0.00039839744567871094
